YR,PRD_DE,C1_NM,C2_NM,C3_NM,C4_NM,DT
2011,201102,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1602
2011,201102,부산,단독,단독,단독,95
2011,201102,부산,단독,다가구,동수,46
2011,201102,부산,단독,다가구,가구수,457
2011,201102,부산,다세대,다세대,다세대,548
2011,201102,부산,연립,연립,연립,0
2011,201102,부산,아파트,아파트,아파트,502
2011,201102,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2732
2011,201102,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3090
2011,201102,대구,단독,단독,단독,84
2011,201102,대구,단독,다가구,동수,44
2011,201102,대구,단독,다가구,가구수,402
2011,201102,대구,다세대,다세대,다세대,0
2011,201102,대구,연립,연립,연립,0
2011,201102,대구,아파트,아파트,아파트,2604
2011,201102,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),53
2011,201102,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),355
2011,201102,광주,단독,단독,단독,19
2011,201102,광주,단독,다가구,동수,34
2011,201102,광주,단독,다가구,가구수,336
2011,201102,광주,다세대,다세대,다세대,0
2011,201102,광주,연립,연립,연립,0
2011,201102,광주,아파트,아파트,아파트,0
2011,201102,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),78
2011,201102,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),442
2011,201102,대전,단독,단독,단독,40
2011,201102,대전,단독,다가구,동수,38
2011,201102,대전,단독,다가구,가구수,402
2011,201102,대전,다세대,다세대,다세대,0
2011,201102,대전,연립,연립,연립,0
2011,201102,대전,아파트,아파트,아파트,0
2011,201102,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),65
2011,201102,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),359
2011,201102,울산,단독,단독,단독,22
2011,201102,울산,단독,다가구,동수,40
2011,201102,울산,단독,다가구,가구수,334
2011,201102,울산,다세대,다세대,다세대,3
2011,201102,울산,연립,연립,연립,0
2011,201102,울산,아파트,아파트,아파트,0
2011,201102,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),3524
2011,201102,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),6204
2011,201102,기타지방,단독,단독,단독,833
2011,201102,기타지방,단독,다가구,동수,369
2011,201102,기타지방,단독,다가구,가구수,3049
2011,201102,기타지방,다세대,다세대,다세대,139
2011,201102,기타지방,연립,연립,연립,82
2011,201102,기타지방,아파트,아파트,아파트,2101
2011,201102,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),167
2011,201102,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),358
2011,201102,강원,단독,단독,단독,94
2011,201102,강원,단독,다가구,동수,33
2011,201102,강원,단독,다가구,가구수,224
2011,201102,강원,다세대,다세대,다세대,32
2011,201102,강원,연립,연립,연립,8
2011,201102,강원,아파트,아파트,아파트,0
