월(Monthly),구  분,대분류,중분류,소분류,착공실적
2011-02,인천,단독,단독,단독,77
2011-02,인천,단독,다가구,동수,40
2011-02,인천,단독,다가구,가구수,210
2011-02,인천,다세대,다세대,다세대,652
2011-02,인천,연립,연립,연립,104
2011-02,인천,아파트,아파트,아파트,353
2011-02,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4,244
2011-02,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),5,185
2011-02,경기,단독,단독,단독,372
2011-02,경기,단독,다가구,동수,192
2011-02,경기,단독,다가구,가구수,1,133
2011-02,경기,다세대,다세대,다세대,1,124
2011-02,경기,연립,연립,연립,52
2011-02,경기,아파트,아파트,아파트,2,504
2011-02,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),6,360
2011-02,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),13,600
2011-02,지방소계,단독,단독,단독,1,556
2011-02,지방소계,단독,다가구,동수,1,009
2011-02,지방소계,단독,다가구,가구수,8,249
2011-02,지방소계,다세대,다세대,다세대,775
2011-02,지방소계,연립,연립,연립,1
2011-02,지방소계,아파트,아파트,아파트,3,019
2011-02,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2,202
2011-02,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),4,198
2011-02,기타광역시,단독,단독,단독,170
2011-02,기타광역시,단독,다가구,동수,265
2011-02,기타광역시,단독,다가구,가구수,2,261
2011-02,기타광역시,다세대,다세대,다세대,545
2011-02,기타광역시,연립,연립,연립,0
2011-02,기타광역시,아파트,아파트,아파트,1,222
2011-02,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,677
2011-02,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,859
2011-02,부산,단독,단독,단독,76
2011-02,부산,단독,다가구,동수,28
2011-02,부산,단독,다가구,가구수,210
2011-02,부산,다세대,다세대,다세대,511
2011-02,부산,연립,연립,연립,0
2011-02,부산,아파트,아파트,아파트,1,062
2011-02,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),137
2011-02,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),700
2011-02,대구,단독,단독,단독,22
