gvkey,datadate,lev,roa,btm,retvol,ch_price,std_income,default,ln_mve
000063,3/31/2007,1.220688362,-0.010977423,-1.748860823,0.358468473,1.475,124.328017,1,4.965352218
000064,9/30/2004,0.892889542,-0.017392936,0.973249239,0.147822528,0.8,15.94440157,1,5.856354767
000065,6/30/2002,0.476830773,-0.074351451,0.999781017,0.650463441,-8.421,25.0960059,1,5.667610627
000066,6/30/2008,1.702895145,-0.02278375,-115.46803,0.205536032,-3.55,10.64184674,1,1.202689982
000067,12/31/2002,0.709222415,0.001551762,1.206857599,0.137171737,-5.24,7.04827836,1,4.990691465
000068,10/31/2010,1.030075188,-0.05484299,-0.464016857,0.312446289,-0.72,61.61411556,1,4.476516478
000069,9/30/2008,0.967969638,-0.067649354,1.159690591,0.206477745,-5.23,27.03646961,1,3.655861305
000070,6/30/2010,0.843894886,-0.016602732,1.316190923,0.203526643,-0.37,21.72664246,1,3.711237637
000071,9/30/2008,0.549530452,-0.131303736,1.140731256,0.109263008,-1.53,25.29037119,1,6.316510773
000072,10/31/2008,0.963350396,-0.016611994,4.170874493,0.396846992,-2.82,63.43321966,1,2.963145547
000073,9/30/2009,1.282712651,-0.077226459,-3.357039004,0.467310515,-0.4376,23.56204818,1,2.727255003
000074,6/30/2009,0.499067798,-0.057353852,2.019052037,0.452517517,-60.24,175.5936016,1,6.138792901
000075,12/31/2003,0.757291209,-0.169915463,2.149682408,0.289366113,-1.54,11.6090351,1,4.190725229
000075,3/31/2010,0.972684259,-0.077492926,0.610834413,0.353360633,0.22,53.35178777,1,3.813928473
000076,9/30/2003,0.766315311,-0.22194997,2.447435008,0.235608505,-0.57,6.612243475,1,3.796389907
000077,9/30/2004,0.886310487,-0.317233315,0.351417454,0.214333548,-0.96,712.5024948,1,4.874421832
000078,6/30/2006,0.879044019,-0.065420234,7.196139911,0.110809651,-2.41,8.329218955,1,3.565311971
000079,6/30/2004,0.920936857,0.016343369,0.225370301,0.265893963,-14.44,12.8611497,1,5.043012903
000080,9/30/2005,0.847418457,-0.008949826,2.529307363,0.300700937,-0.31,146.2334635,1,7.296209438
000081,12/31/2003,0.800075783,-0.008506713,0.660631979,0.393269613,26.77,17.29528905,1,5.071656637
000082,3/31/2012,1.313908034,-0.208625914,-1.338966146,0.242316432,-2.46,81.24939099,1,4.175480518
000083,10/31/2013,1.063660326,-0.071655144,-0.689944499,0.219064494,-3.15,11.47321551,1,3.421979921
000084,9/30/2008,0.448122534,-0.06374257,6.700208914,0.239196786,-11.04,16.06528216,1,3.945380409
000085,9/30/2003,1.129292221,-0.060616678,-0.88480978,0.730768595,-1.23,48.18287532,1,6.033179239
000086,6/30/2008,1.174093648,-0.094903781,-3.79128686,0.21996367,-4.22,123.0873041,1,4.904931386
000087,3/31/2004,0.906695206,0.02134571,1.329945036,0.22190061,-3.37,22.96624009,1,2.568397253
000088,6/30/2007,0.781290225,-0.046225486,2.313198695,0.185854516,-10.17,70.59532718,1,5.52042342
000089,4/30/2012,0.85341333,-0.111822334,1.100502795,0.214699881,-11.54,81.08062881,1,4.12294611
000090,9/30/2012,0.967851018,-0.004423851,1.44701189,0.395289194,0.69,2190.740529,1,4.152711736
000091,3/31/2012,0.852373727,0.030542037,0.781130152,0.130618166,-6.24,224.1135534,1,5.919999936
000092,12/31/2002,0.969661772,-0.083370455,0.522788604,0.45788852,-7.62,53.94769667,1,4.426475245
000093,3/31/2007,0.82726218,-0.175813405,0.834048073,0.206665296,-6.22,40.78658058,1,3.723611261
000094,9/30/2013,1.271217279,-0.026000704,-8.785171103,0.552283115,9.745,261.0110072,1,3.96271612
000095,6/30/2005,1.266004482,-0.020471201,-1.74563591,0.171678276,-6.03,1107.640616,1,7.867300884
000096,6/30/2005,1.520430268,-1.514245163,-0.331653754,0.226142633,-1.54,19.31684773,1,4.654286392
000097,6/30/2002,0.895574114,-0.082696281,1.44458511,0.457734565,-0.03,22.11604905,1,2.442423554
000098,3/31/2010,1.283742796,-0.04951471,-8.421271312,0.205202272,-0.4675,154.698094,1,3.969333908
000099,9/30/2002,0.400571958,-0.08800574,2.095745057,0.40476241,-1.34,44.83787777,1,5.875762407
000100,6/30/2006,1.194607621,-0.063548059,-3.164393174,0.172203121,-0.66,191.7615169,1,4.671744134
000101,9/30/2002,0.659469044,0.019791439,8.559453709,0.226274473,-0.29,8.104999318,1,2.285207982
000102,6/30/2005,1.261517373,-0.021395792,-14.17657837,0.134705854,-2.73,630.2680513,1,5.885796706
000103,6/30/2008,0.729288611,-0.019345664,4.907556564,0.248630039,-2.36,27.1571123,1,4.182868129
000104,9/30/2002,0.980102809,-0.060636585,0.996305454,0.300731445,-7.681,30.72196444,1,2.040235428
000105,12/31/2008,1.11871189,-0.065929878,-19.34569248,0.277775091,-4.04,547.5433076,1,3.825375199
000106,6/30/2008,4.068265937,-0.197920119,-9.583905771,0.534071421,-1.5534,3.883184335,1,3.143344142
000107,9/30/2008,0.823976561,0.040841517,0.534070596,0.168317524,-6.01,24.5763881,1,5.627509129
000108,6/30/2011,0.809509347,-0.013449008,2.073860164,0.114993226,-4.69,43.4746928,1,5.097546666
000109,3/31/2012,0.958069195,-0.038176132,-0.663906684,0.201120821,-10.76,59.99963559,1,5.94692432
000110,6/30/2008,1.216489916,0.00943964,-2.398401308,0.179483722,-6.5,142.2860812,1,5.173429936
000111,9/30/2012,1.362802639,-0.169372982,-2.048642837,0.370236725,-1.47,56.0798537,1,4.184587379
000112,9/30/2005,0.565611299,0.004410557,0.487611698,0.11142572,-0.28,23.60321302,1,5.817242193
000113,3/31/2008,0.858655643,-0.032588061,2.382828317,0.293426592,-17.99,113.4472624,1,4.950621985
000114,9/30/2011,0.927043277,-0.002253347,2.004031044,0.155936966,-2.5,10.44873647,1,4.026155653
000115,6/30/2009,1.007060565,-0.008782593,-0.421634245,0.290768469,-6.61,21.46922051,1,3.983379481
000116,9/30/2008,0.87685791,0.008471765,1.9316837,0.282946581,-3.38,216.4203066,1,5.34991245
000117,9/30/2007,0.93187208,-0.007473949,0.466773833,0.214794562,-1.97,41.3027702,1,3.956493568
000118,9/30/2011,1.139538819,0.010612934,-2.198692475,0.244227984,-1.03,28.5121485,1,3.376007771
000119,12/31/2009,1.172537999,-0.13952915,-3.217333273,0.322932231,0.1,39.45441755,1,3.616076476
000120,9/30/2013,0.767980564,-0.02393156,3.464135826,0.329345974,-0.9,29.63936503,1,4.268308794
000121,9/30/2009,0.914966541,-0.036638174,0.235047294,0.417982367,-1.63,23.08869012,1,5.059318786
000122,6/30/2011,0.595019017,-0.021785013,4.706491919,0.320034825,-4.28,56.89190622,1,4.053710918
000123,9/30/2013,0.679533574,-0.021451496,4.7001516,0.420830633,3.57,14.77976508,1,4.784189965
000124,9/30/2008,0.624392466,-0.035247468,5.777119363,0.161742141,-6.9,35.80989667,1,5.520087776
