"연도","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
2012,"변용선","롯데",7,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.11
2012,"유한준","넥센",74,274,246,59,3,22,25,19,36,3,0.269,0.24,0.299,0.329,0.628,0.292,-0.12
2012,"김남형","넥센",6,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,-0.12
2012,"조동화","SK",24,77,62,15,0,6,3,7,16,3,0.319,0.242,0.314,0.274,0.588,0.284,-0.13
2012,"유재신","넥센",58,96,85,20,0,14,7,6,20,5,0.303,0.235,0.283,0.306,0.589,0.275,-0.13
2012,"정주현","LG",18,25,23,4,0,5,1,2,9,4,0.286,0.174,0.24,0.174,0.414,0.209,-0.13
2012,"황선일","LG",3,8,8,1,0,0,1,0,0,0,0.125,0.125,0.125,0.125,0.25,0.115,-0.13
2012,"임재철","두산",66,148,136,33,2,16,14,8,25,4,0.282,0.243,0.283,0.346,0.629,0.289,-0.14
2012,"신명철","삼성",44,112,100,21,2,9,7,8,18,1,0.238,0.21,0.269,0.31,0.579,0.272,-0.14
2012,"박헌도","넥센",23,42,34,6,0,3,1,7,12,0,0.261,0.176,0.31,0.176,0.486,0.259,-0.14
2012,"유재웅","SK",9,14,13,2,0,1,1,1,3,0,0.2,0.154,0.214,0.154,0.368,0.186,-0.14
2012,"이성우","KIA",16,9,8,0,0,1,1,1,2,0,0,0,0.111,0,0.111,0.085,-0.14
2012,"김경모","삼성",9,4,4,0,0,2,0,0,1,0,0,0,0,0,0,0,-0.14
2012,"채상병","삼성",10,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.15
2012,"오재일","두산",33,82,77,20,4,7,8,3,19,0,0.291,0.26,0.284,0.481,0.765,0.337,-0.16
2012,"이인구","롯데",7,12,12,2,0,1,0,0,4,0,0.25,0.167,0.167,0.167,0.334,0.154,-0.16
2012,"한윤섭","한화",23,20,17,2,0,7,1,0,2,2,0.125,0.118,0.2,0.118,0.318,0.166,-0.16
2012,"황진수","롯데",28,20,18,2,0,2,0,1,9,2,0.222,0.111,0.158,0.167,0.325,0.156,-0.16
2012,"국해성","두산",3,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.16
2012,"이준수","한화",37,43,39,6,0,1,2,4,16,0,0.261,0.154,0.233,0.179,0.412,0.208,-0.17
2012,"박정준","넥센",18,28,27,5,0,3,0,1,8,0,0.263,0.185,0.214,0.296,0.51,0.232,-0.18
2012,"윤진호","LG",22,13,12,1,0,3,0,1,4,1,0.125,0.083,0.154,0.083,0.237,0.13,-0.18
2012,"김지성","LG",6,14,13,1,0,0,2,1,3,1,0.1,0.077,0.143,0.077,0.22,0.12,-0.18
2012,"김대우","롯데",6,7,7,0,0,1,0,0,4,0,0,0,0,0,0,0,-0.18
2012,"문우람*","넥센",25,71,65,15,0,4,3,4,13,0,0.283,0.231,0.282,0.292,0.574,0.268,-0.19
2012,"심광호","LG",43,82,73,15,0,4,6,3,19,1,0.273,0.205,0.244,0.247,0.491,0.23,-0.19
2012,"최영진","LG",43,87,79,19,0,9,7,3,11,0,0.275,0.241,0.282,0.291,0.573,0.267,-0.2
2012,"황정립","KIA",18,57,47,7,1,4,5,10,15,0,0.194,0.149,0.298,0.213,0.511,0.269,-0.2
2012,"민병헌","두산",2,8,7,1,0,0,0,0,2,0,0.2,0.143,0.143,0.143,0.286,0.132,-0.2
2012,"오준혁","한화",10,16,15,2,0,1,2,0,3,0,0.167,0.133,0.188,0.133,0.321,0.162,-0.2
