Date,S&P500,Apple,Change_S&P500,Change_Apple
2005-03-01,1180.589966,3.986407,-0.019117656,-0.071110141
2005-02-01,1203.599976,4.291582,0.018903346,0.166710074
2005-01-01,1181.27002,3.678362,-0.025290467,0.194099302
2004-12-01,1211.920044,3.080449,0.032458213,-0.039522563
2004-11-01,1173.819946,3.207206,0.038594936,0.279579549
2004-10-01,1130.199951,2.506453,0.014014244,0.352258473
2004-09-01,1114.579956,1.853531,0.009363876,0.12351418
2004-08-01,1104.23999,1.649762,0.00228735,0.066481094
2004-07-01,1101.719971,1.546921,-0.034290519,-0.006145891
2004-06-01,1140.839966,1.556487,0.017988999,0.15965701
2004-05-01,1120.680054,1.342196,0.01208345,0.088441178
2004-04-01,1107.300049,1.233136,-0.016790752,-0.046597897
2004-03-01,1126.209961,1.293406,-0.016358919,0.130434631
2004-02-01,1144.939941,1.144167,0.012208973,0.060283714
2004-01-01,1131.130005,1.079114,0.017276387,0.055685179
2003-12-01,1111.920044,1.022193,0.050765541,0.021999842
2003-11-01,1058.199951,1.000189,0.007128504,-0.086500295
2003-10-01,1050.709961,1.094898,0.054961486,0.104728983
2003-09-01,995.969971,0.991101,-0.011944365,-0.083590922
2003-08-01,1008.01001,1.081505,0.017873203,0.072580061
2003-07-01,990.309998,1.008321,0.016223702,0.105981367
2003-06-01,974.5,0.911698,0.011322215,0.061838824
2003-05-01,963.590027,0.858603,0.05089871,0.262306193
2003-04-01,916.919983,0.680186,0.081044107,0.005658238
2003-03-01,848.179993,0.676359,0.008357569,-0.057961709
2003-02-01,841.150024,0.717974,-0.017003609,0.045263895
2003-01-01,855.700012,0.686883,-0.027414693,0.002093521
2002-12-01,879.820007,0.685448,-0.060332573,-0.075482997
2002-11-01,936.309998,0.741412,0.057069621,-0.035470035
2002-10-01,885.76001,0.768677,0.086448801,0.108276058
2002-09-01,815.280029,0.693579,-0.110024318,-0.016950186
2002-08-01,916.070007,0.705538,0.004881433,-0.033419551
2002-07-01,911.619995,0.729932,-0.079004275,-0.138825933
2002-06-01,989.820007,0.847601,-0.072455354,-0.239485514
2002-05-01,1067.140015,1.11451,-0.009081481,-0.039966991
2002-04-01,1076.920044,1.160908,-0.061417626,0.025348699
2002-03-01,1147.390015,1.132208,0.036738894,0.090782271
2002-02-01,1106.72998,1.037978,-0.020766211,-0.122167599
2002-01-01,1130.199951,1.182433,-0.015573833,0.128766906
2001-12-01,1148.079956,1.047544,0.007573834,0.02816918
2001-11-01,1139.449951,1.018844,0.075175904,0.212984613
2001-10-01,1059.780029,0.839948,0.018099111,0.132171707
2001-09-01,1040.939941,0.741891,-0.081723406,-0.163880884
2001-08-01,1133.579956,0.887303,-0.064108407,-0.012772827
2001-07-01,1211.22998,0.898783,-0.01074015,-0.191827666
2001-06-01,1224.380005,1.112118,-0.025035389,0.165412305
2001-05-01,1255.819946,0.95427,0.005090187,-0.217339955
2001-04-01,1249.459961,1.219265,0.076814362,0.154961371
2001-03-01,1160.329956,1.055676,-0.064204711,0.209315965
2001-02-01,1239.939941,0.872953,-0.092290736,-0.156069761
2001-01-01,1366.01001,1.03439,0.034636577,0.453781146
2000-12-01,1320.280029,0.711517,0.004053446,-0.098485136
2000-11-01,1314.949951,0.789246,-0.08006861,-0.156548763
2000-10-01,1429.400024,0.935734,-0.004949486,-0.240291272
2000-09-01,1436.51001,1.231701,-0.053482975,-0.577435985
2000-08-01,1517.680054,2.914827,0.060699105,0.199261639
2000-07-01,1430.829956,2.430518,-0.016341276,-0.02983248
2000-06-01,1454.599976,2.505256,0.02393355,0.247023254
2000-05-01,1420.599976,2.008989,-0.021915051,-0.322921638
2000-04-01,1452.430054,2.967144,-0.030795756,-0.086516568
2000-03-01,1498.579956,3.248164,0.096719828,0.184842083
2000-02-01,1366.420044,2.741432,-0.020108083,0.10481917
2000-01-01,1394.459961,2.48134,,
