gvkey,datadate,lev,roa,btm,retvol,ch_price,std_income,default,ln_mve,ln_cds
000139,7/31/2013,0.852724433,0.017083527,0.27009387,0.053670926,6.25,297.4796238,0,10.36731645,3.658286856
000139,10/31/2013,0.827495367,0.013554811,0.33557098,0.043383585,-3.6,312.9220018,0,10.32849504,3.708267387
000004,3/31/2002,0.845770934,-0.016747522,0.845964183,0.150893853,-6.78,276.9388067,0,8.30203904,6.242121849
000004,6/30/2002,0.857843341,-0.007729067,1.289592393,0.158526037,-24.08,302.427351,0,7.809995767,6.192135404
000004,9/30/2002,0.871240171,-0.013562425,2.482818698,0.198262942,-17.04,306.690359,0,7.04392386,7.082595713
000004,12/31/2002,0.953195793,-0.014684466,0.598267276,0.212469012,-17.16,318.2043824,0,7.308304256,7.325950037
000004,3/31/2003,0.96873084,-0.019047619,0.459967356,0.213235307,-23.82,330.7880344,0,7.001158187,7.542482564
000004,6/30/2003,0.963023829,0.007199593,0.374937429,0.251249194,-5.32,347.0515319,0,7.501617252,7.34827159
000004,3/31/2004,1.028807213,-0.014632842,-1.044147533,0.164853666,-0.98,334.4708744,0,6.892169652,7.406613346
000004,6/30/2008,0.865429822,-0.03775632,2.148154665,0.161436446,-14,1613.113616,0,7.45713855,7.359952732
000004,9/30/2008,0.906594265,-0.001953278,1.040181231,0.200616184,-10.5,1588.245056,0,7.740072009,7.391833563
000004,12/31/2008,0.980583818,-0.031945617,0.109712733,0.259168057,-3.43,1591.893011,0,8.982970221,7.594003838
