월(Monthly),구  분,대분류,중분류,소분류,사용검사실적
2010-09,인천,단독,다가구,가구수,341
2010-09,인천,다세대,다세대,다세대,629
2010-09,인천,연립,연립,연립,14
2010-09,인천,아파트,아파트,아파트,0
2010-09,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),6,707
2010-09,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),8,081
2010-09,경기,단독,단독,단독,481
2010-09,경기,단독,다가구,동수,312
2010-09,경기,단독,다가구,가구수,1,686
2010-09,경기,다세대,다세대,다세대,963
2010-09,경기,연립,연립,연립,96
2010-09,경기,아파트,아파트,아파트,4,855
2010-09,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),10,040
2010-09,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),17,154
2010-09,지방소계,단독,단독,단독,2,279
2010-09,지방소계,단독,다가구,동수,956
2010-09,지방소계,단독,다가구,가구수,8,070
2010-09,지방소계,다세대,다세대,다세대,330
2010-09,지방소계,연립,연립,연립,13
2010-09,지방소계,아파트,아파트,아파트,6,462
2010-09,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2,812
2010-09,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),5,437
2010-09,기타광역시,단독,단독,단독,245
2010-09,기타광역시,단독,다가구,동수,337
2010-09,기타광역시,단독,다가구,가구수,2,962
2010-09,기타광역시,다세대,다세대,다세대,218
2010-09,기타광역시,연립,연립,연립,0
2010-09,기타광역시,아파트,아파트,아파트,2,012
2010-09,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),336
2010-09,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),797
2010-09,부산,단독,단독,단독,54
2010-09,부산,단독,다가구,동수,54
2010-09,부산,단독,다가구,가구수,515
2010-09,부산,다세대,다세대,다세대,200
2010-09,부산,연립,연립,연립,0
2010-09,부산,아파트,아파트,아파트,28
2010-09,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,196
2010-09,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,537
2010-09,대구,단독,단독,단독,54
2010-09,대구,단독,다가구,동수,55
2010-09,대구,단독,다가구,가구수,396
2010-09,대구,다세대,다세대,다세대,0
2010-09,대구,연립,연립,연립,0
2010-09,대구,아파트,아파트,아파트,1,087
2010-09,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),82
2010-09,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),478
